person;trip_number;trip_id;dep_time;trav_time;wait_time;traveled_distance;euclidean_distance;main_mode;longest_distance_mode;modes;start_activity_type;end_activity_type;start_facility_id;start_link;start_x;start_y;end_facility_id;end_link;end_x;end_y;first_pt_boarding_stop;last_pt_egress_stop
1;1;1_1;06:00:00;00:42:02;00:30:10;6040;4000;;pt;walk-pt-walk;h;w;null;1;0.0;0.0;null;12;4000.0;0.0;9999;2
1;2;1_2;06:47:02;00:35:30;00:25:00;7040;2236;;pt;walk-pt-walk;w;w;null;12;4000.0;0.0;null;14;2000.0;1000.0;2;4
1;3;1_3;07:24:32;01:02:49;00:00:00;3142;2416;;walk;walk;w;h;null;14;2000.0;1000.0;null;1;-200.0;0.0;;
2;1;2_1;06:00:00;00:17:52;00:10:09;4000;2000;;pt;walk-pt-walk;h;w;null;1;0.0;0.0;null;11;2000.0;0.0;9999;1
2;2;2_2;06:27:52;00:09:10;00:04:10;2000;2000;;pt;walk-pt-walk;w;w;null;11;2000.0;0.0;null;12;4000.0;0.0;1;2
2;3;2_3;06:40:02;00:32:30;00:22:00;7040;2236;;pt;walk-pt-walk;w;w;null;12;4000.0;0.0;null;14;2000.0;1000.0;2;4
2;4;2_4;07:14:32;01:02:49;00:00:00;3142;2416;;walk;walk;w;h;null;14;2000.0;1000.0;null;1;-200.0;0.0;;
3;1;3_1;06:00:00;00:32:02;00:20:10;6040;4000;;pt;walk-pt-walk;h;w;null;1;0.0;0.0;null;12;4000.0;0.0;9999;2
3;2;3_2;06:34:02;00:28:30;00:18:00;7040;2236;;pt;walk-pt-walk;w;w;null;12;4000.0;0.0;null;14;2000.0;1000.0;2;4
3;3;3_3;07:05:32;01:02:49;00:00:00;3142;2416;;walk;walk;w;h;null;14;2000.0;1000.0;null;1;-200.0;0.0;;
4;1;4_1;06:00:00;00:17:51;00:10:08;4000;2000;;pt;walk-pt-walk;h;w;null;1;0.0;0.0;null;11;2000.0;0.0;9999;1
4;2;4_2;06:27:51;00:09:10;00:04:10;2000;2000;;pt;walk-pt-walk;w;w;null;11;2000.0;0.0;null;12;4000.0;0.0;1;2
4;3;4_3;06:39:01;00:33:30;00:23:00;7040;2236;;pt;walk-pt-walk;w;w;null;12;4000.0;0.0;null;14;2000.0;1000.0;2;4
4;4;4_4;07:15:31;01:02:49;00:00:00;3142;2416;;walk;walk;w;h;null;14;2000.0;1000.0;null;1;-200.0;0.0;;
5;1;5_1;06:00:00;00:32:01;00:20:09;6040;4000;;pt;walk-pt-walk;h;w;null;1;0.0;0.0;null;12;4000.0;0.0;9999;2
5;2;5_2;06:34:01;00:28:30;00:18:00;7040;2236;;pt;walk-pt-walk;w;w;null;12;4000.0;0.0;null;14;2000.0;1000.0;2;4
5;3;5_3;07:05:31;01:02:49;00:00:00;3142;2416;;walk;walk;w;h;null;14;2000.0;1000.0;null;1;-200.0;0.0;;
6;1;6_1;06:00:00;00:22:02;00:10:06;6040;4000;;pt;walk-pt-walk;h;w;null;1;0.0;0.0;null;12;4000.0;0.0;9999;2
6;2;6_2;06:24:02;00:18:29;00:08:01;7040;2236;;pt;walk-pt-walk;w;w;null;12;4000.0;0.0;null;14;2000.0;1000.0;2;4
6;3;6_3;06:45:31;01:02:49;00:00:00;3142;2416;;walk;walk;w;h;null;14;2000.0;1000.0;null;1;-200.0;0.0;;
7;1;7_1;06:00:00;00:07:48;00:05:02;4000;2000;;pt;walk-pt-walk;h;w;null;1;0.0;0.0;null;11;2000.0;0.0;9999;1
7;2;7_2;06:17:48;00:09:14;00:00:06;2000;2000;;pt;walk-pt-walk;w;w;null;11;2000.0;0.0;null;12;4000.0;0.0;1;2
7;3;7_3;06:29:02;00:23:30;00:13:02;7040;2236;;pt;walk-pt-walk;w;w;null;12;4000.0;0.0;null;14;2000.0;1000.0;2;4
7;4;7_4;06:55:32;01:02:49;00:00:00;3142;2416;;walk;walk;w;h;null;14;2000.0;1000.0;null;1;-200.0;0.0;;
8;1;8_1;06:00:00;00:22:01;00:10:05;6040;4000;;pt;walk-pt-walk;h;w;null;1;0.0;0.0;null;12;4000.0;0.0;9999;2
8;2;8_2;06:25:01;00:17:31;00:07:03;7040;2236;;pt;walk-pt-walk;w;w;null;12;4000.0;0.0;null;14;2000.0;1000.0;2;4
8;3;8_3;06:44:32;01:02:49;00:00:00;3142;2416;;walk;walk;w;h;null;14;2000.0;1000.0;null;1;-200.0;0.0;;
9;1;9_1;06:00:00;00:07:47;00:05:01;4000;2000;;pt;walk-pt-walk;h;w;null;1;0.0;0.0;null;11;2000.0;0.0;9999;1
9;2;9_2;06:17:47;00:09:14;00:00:06;2000;2000;;pt;walk-pt-walk;w;w;null;11;2000.0;0.0;null;12;4000.0;0.0;1;2
9;3;9_3;06:29:01;00:23:30;00:13:02;7040;2236;;pt;walk-pt-walk;w;w;null;12;4000.0;0.0;null;14;2000.0;1000.0;2;4
9;4;9_4;06:55:31;01:02:49;00:00:00;3142;2416;;walk;walk;w;h;null;14;2000.0;1000.0;null;1;-200.0;0.0;;
10;1;10_1;06:00:00;00:42:01;00:30:09;6040;4000;;pt;walk-pt-walk;h;w;null;1;0.0;0.0;null;12;4000.0;0.0;9999;2
10;2;10_2;06:44:01;00:38:30;00:28:00;7040;2236;;pt;walk-pt-walk;w;w;null;12;4000.0;0.0;null;14;2000.0;1000.0;2;4
10;3;10_3;07:25:31;01:02:49;00:00:00;3142;2416;;walk;walk;w;h;null;14;2000.0;1000.0;null;1;-200.0;0.0;;
