person;trip_number;trip_id;dep_time;trav_time;wait_time;traveled_distance;euclidean_distance;main_mode;longest_distance_mode;modes;start_activity_type;end_activity_type;start_facility_id;start_link;start_x;start_y;end_facility_id;end_link;end_x;end_y;first_pt_boarding_stop;last_pt_egress_stop
1;1;1_1;06:00:00;00:25:00;00:00:00;25000;25000;;car;car;h;w;null;1;-15000.0;0.0;null;20;10000.0;0.0;;
1;2;1_2;06:35:00;01:05:00;00:00:00;65000;35000;;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
2;1;2_1;05:59:00;00:44:29;00:00:00;24999;25000;;car;car;h;w;null;1;-15000.0;0.0;null;20;10000.0;0.0;;
2;2;2_2;09:13:29;01:05:00;00:00:00;65000;35000;;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
3;1;3_1;05:58:30;00:25:00;00:00:00;24999;25000;;car;car;h;w;null;1;-15000.0;0.0;null;20;10000.0;0.0;;
3;2;3_2;07:53:30;01:05:00;00:00:00;65000;35000;;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
4;1;4_1;05:59:30;01:03:59;00:00:00;24999;25000;;car;car;h;w;null;1;-15000.0;0.0;null;20;10000.0;0.0;;
4;2;4_2;09:33:29;01:05:00;00:00:00;65000;35000;;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
5;1;5_1;06:00:00;00:25:00;00:00:00;25000;25000;;car;car;h;w;null;1;-15000.0;0.0;null;20;10000.0;0.0;;
5;2;5_2;12:55:00;01:05:00;00:00:00;65000;35000;;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
6;1;6_1;06:00:00;00:09:00;00:00:00;25000;25000;;bicycle;bicycle;h;w;null;1;-15000.0;0.0;null;20;10000.0;0.0;;
6;2;6_2;06:39:00;00:33:00;00:00:00;65000;35000;;bicycle;bicycle;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
7;1;7_1;06:00:00;00:09:00;00:00:00;25000;25000;;bicycle;bicycle;h;w;null;1;-15000.0;0.0;null;20;10000.0;0.0;;
7;2;7_2;06:39:00;00:33:00;00:00:00;65000;35000;;bicycle;bicycle;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
8;1;8_1;06:00:00;00:09:00;00:00:00;25000;25000;;bicycle;bicycle;h;w;null;1;-15000.0;0.0;null;20;10000.0;0.0;;
8;2;8_2;06:39:00;00:33:00;00:00:00;65000;35000;;bicycle;bicycle;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
9;1;9_1;06:00:00;00:09:00;00:00:00;25000;25000;;bicycle;bicycle;h;w;null;1;-15000.0;0.0;null;20;10000.0;0.0;;
9;2;9_2;06:39:00;00:33:00;00:00:00;65000;35000;;bicycle;bicycle;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
10;1;10_1;06:00:00;00:09:00;00:00:00;25000;25000;;bicycle;bicycle;h;w;null;1;-15000.0;0.0;null;20;10000.0;0.0;;
10;2;10_2;06:39:00;00:33:00;00:00:00;65000;35000;;bicycle;bicycle;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
