Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	13:01:14	13:01:14	13:01:14			13:01:14	13:01:14	13:01:14	13:01:14	13:01:14	13:01:14	13:01:14	13:01:17	13:01:17	13:01:17	13:01:17	13:01:17	13:01:17			13:01:18	13:01:18		00:00:00		00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:04
1	13:01:18	13:01:18	13:01:18	13:01:18	13:01:18	13:01:18	13:01:18	13:01:18	13:01:18	13:01:18	13:01:18	13:01:18	13:01:20	13:01:20	13:01:20	13:01:20	13:01:20	13:01:20			13:01:21	13:01:21		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
2	13:01:21	13:01:21	13:01:21	13:01:21	13:01:21	13:01:21			13:01:21	13:01:21	13:01:21	13:01:21	13:01:23	13:01:23	13:01:23	13:01:23	13:01:23	13:01:23			13:01:24	13:01:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
3	13:01:24	13:01:24	13:01:24	13:01:24	13:01:24	13:01:24			13:01:24	13:01:24	13:01:24	13:01:24	13:01:26	13:01:26	13:01:26	13:01:26	13:01:26	13:01:26			13:01:26	13:01:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
4	13:01:26	13:01:26	13:01:26	13:01:26	13:01:26	13:01:26			13:01:26	13:01:26	13:01:26	13:01:26	13:01:28	13:01:28	13:01:28	13:01:28	13:01:28	13:01:28			13:01:29	13:01:29		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
5	13:01:29	13:01:29	13:01:29	13:01:29	13:01:29	13:01:29			13:01:29	13:01:29	13:01:29	13:01:29	13:01:30	13:01:30	13:01:30	13:01:30	13:01:30	13:01:30			13:01:31	13:01:31		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
6	13:01:31	13:01:31	13:01:31	13:01:31	13:01:31	13:01:31			13:01:31	13:01:31	13:01:31	13:01:31	13:01:33	13:01:33	13:01:33	13:01:33	13:01:33	13:01:33			13:01:33	13:01:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
7	13:01:34	13:01:34	13:01:34	13:01:34	13:01:34	13:01:34			13:01:34	13:01:34	13:01:34	13:01:34	13:01:35	13:01:35	13:01:35	13:01:35	13:01:35	13:01:35			13:01:36	13:01:36		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
8	13:01:36	13:01:36	13:01:36	13:01:36	13:01:36	13:01:36			13:01:36	13:01:36	13:01:36	13:01:36	13:01:38	13:01:38	13:01:38	13:01:38	13:01:38	13:01:38			13:01:38	13:01:38		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
9	13:01:38	13:01:38	13:01:38	13:01:38	13:01:38	13:01:38			13:01:38	13:01:38	13:01:38	13:01:38	13:01:40	13:01:40	13:01:40	13:01:40	13:01:40	13:01:40			13:01:40	13:01:40		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
10	13:01:40	13:01:40	13:01:40	13:01:40	13:01:40	13:01:40	13:01:40	13:01:40	13:01:40	13:01:40	13:01:40	13:01:40	13:01:42	13:01:42	13:01:42	13:01:42	13:01:42	13:01:42	13:01:42	13:01:42	13:01:43	13:01:43		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02
