Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	13:22:05	13:22:05	13:22:05			13:22:05	13:22:05	13:22:06	13:22:06	13:22:06	13:22:06	13:22:06	13:22:09	13:22:09	13:22:09	13:22:09	13:22:09	13:22:09			13:22:11	13:22:11		00:00:00		00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:01	00:00:05
1	13:22:11	13:22:11	13:22:11	13:22:11	13:22:11	13:22:11	13:22:11	13:22:11	13:22:11	13:22:11	13:22:11	13:22:11	13:22:14	13:22:14	13:22:14	13:22:14	13:22:14	13:22:14			13:22:15	13:22:15		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
2	13:22:15	13:22:15	13:22:15	13:22:15	13:22:15	13:22:15			13:22:15	13:22:15	13:22:15	13:22:15	13:22:18	13:22:18	13:22:18	13:22:18	13:22:18	13:22:18			13:22:18	13:22:18		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
3	13:22:18	13:22:18	13:22:18	13:22:18	13:22:18	13:22:18			13:22:18	13:22:18	13:22:18	13:22:18	13:22:21	13:22:21	13:22:21	13:22:21	13:22:21	13:22:21			13:22:22	13:22:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
4	13:22:22	13:22:22	13:22:22	13:22:22	13:22:22	13:22:22			13:22:22	13:22:22	13:22:22	13:22:22	13:22:24	13:22:24	13:22:24	13:22:24	13:22:24	13:22:24			13:22:25	13:22:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
5	13:22:25	13:22:25	13:22:25	13:22:25	13:22:25	13:22:25			13:22:25	13:22:25	13:22:25	13:22:25	13:22:27	13:22:27	13:22:27	13:22:27	13:22:27	13:22:27			13:22:28	13:22:28		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
6	13:22:28	13:22:28	13:22:28	13:22:28	13:22:28	13:22:28			13:22:28	13:22:28	13:22:28	13:22:28	13:22:30	13:22:30	13:22:30	13:22:30	13:22:30	13:22:30			13:22:30	13:22:30		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
7	13:22:30	13:22:30	13:22:30	13:22:30	13:22:30	13:22:30			13:22:30	13:22:30	13:22:30	13:22:30	13:22:33	13:22:33	13:22:33	13:22:33	13:22:33	13:22:33			13:22:33	13:22:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
8	13:22:34	13:22:34	13:22:34	13:22:34	13:22:34	13:22:34			13:22:34	13:22:34	13:22:34	13:22:34	13:22:36	13:22:36	13:22:36	13:22:36	13:22:36	13:22:36			13:22:36	13:22:36		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
9	13:22:36	13:22:36	13:22:36	13:22:36	13:22:36	13:22:36			13:22:36	13:22:36	13:22:36	13:22:36	13:22:39	13:22:39	13:22:39	13:22:39	13:22:39	13:22:39			13:22:40	13:22:40		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
10	13:22:40	13:22:40	13:22:40	13:22:40	13:22:40	13:22:40	13:22:40	13:22:40	13:22:40	13:22:40	13:22:40	13:22:40	13:22:42	13:22:42	13:22:42	13:22:42	13:22:42	13:22:42	13:22:42	13:22:42	13:22:43	13:22:43		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00	00:00:00	00:00:00	00:00:03
