Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	13:39:53	13:39:53	13:39:53			13:39:53	13:39:53	13:39:53	13:39:53	13:39:53	13:39:53	13:39:53	13:39:57	13:39:57	13:39:57	13:39:57	13:39:57	13:39:57			13:39:58	13:39:58		00:00:00		00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:01	00:00:05
1	13:39:58	13:39:58	13:39:58	13:39:58	13:39:58	13:39:58	13:39:58	13:39:58	13:39:58	13:39:58	13:39:58	13:39:58	13:40:01	13:40:01	13:40:01	13:40:01	13:40:01	13:40:01			13:40:02	13:40:02		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
2	13:40:02	13:40:02	13:40:02	13:40:02	13:40:02	13:40:02			13:40:02	13:40:02	13:40:02	13:40:02	13:40:05	13:40:05	13:40:05	13:40:05	13:40:05	13:40:05			13:40:05	13:40:05		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
3	13:40:05	13:40:05	13:40:05	13:40:05	13:40:05	13:40:05			13:40:05	13:40:05	13:40:05	13:40:05	13:40:09	13:40:09	13:40:09	13:40:09	13:40:09	13:40:09			13:40:09	13:40:09		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
4	13:40:09	13:40:09	13:40:09	13:40:09	13:40:09	13:40:09			13:40:09	13:40:09	13:40:09	13:40:09	13:40:12	13:40:12	13:40:12	13:40:12	13:40:12	13:40:12			13:40:12	13:40:12		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
5	13:40:12	13:40:12	13:40:12	13:40:12	13:40:12	13:40:12			13:40:12	13:40:12	13:40:12	13:40:12	13:40:15	13:40:15	13:40:15	13:40:15	13:40:15	13:40:15			13:40:15	13:40:15		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
6	13:40:15	13:40:15	13:40:15	13:40:15	13:40:15	13:40:15			13:40:15	13:40:15	13:40:15	13:40:15	13:40:18	13:40:18	13:40:18	13:40:18	13:40:18	13:40:18			13:40:18	13:40:18		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
7	13:40:18	13:40:18	13:40:18	13:40:18	13:40:18	13:40:18			13:40:18	13:40:18	13:40:18	13:40:18	13:40:20	13:40:20	13:40:20	13:40:20	13:40:20	13:40:20			13:40:21	13:40:21		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
8	13:40:21	13:40:21	13:40:21	13:40:21	13:40:21	13:40:21			13:40:21	13:40:21	13:40:21	13:40:21	13:40:23	13:40:23	13:40:23	13:40:23	13:40:23	13:40:23			13:40:24	13:40:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
9	13:40:24	13:40:24	13:40:24	13:40:24	13:40:24	13:40:24			13:40:24	13:40:24	13:40:24	13:40:24	13:40:26	13:40:26	13:40:26	13:40:26	13:40:26	13:40:26			13:40:27	13:40:27		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
10	13:40:27	13:40:27	13:40:27	13:40:27	13:40:27	13:40:27	13:40:27	13:40:27	13:40:27	13:40:27	13:40:27	13:40:27	13:40:29	13:40:29	13:40:29	13:40:29	13:40:29	13:40:29	13:40:29	13:40:29	13:40:30	13:40:30		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02
