Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	13:45:07	13:45:07	13:45:07			13:45:07	13:45:07	13:45:07	13:45:07	13:45:07	13:45:07	13:45:07	13:45:10	13:45:10	13:45:10	13:45:10	13:45:10	13:45:10			13:45:12	13:45:12		00:00:00		00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:01	00:00:05
1	13:45:12	13:45:12	13:45:12	13:45:12	13:45:12	13:45:12	13:45:12	13:45:12	13:45:12	13:45:12	13:45:12	13:45:12	13:45:16	13:45:16	13:45:16	13:45:16	13:45:16	13:45:16			13:45:17	13:45:17		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
2	13:45:17	13:45:17	13:45:17	13:45:17	13:45:17	13:45:17			13:45:17	13:45:17	13:45:17	13:45:17	13:45:20	13:45:20	13:45:20	13:45:20	13:45:20	13:45:20			13:45:20	13:45:20		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
3	13:45:20	13:45:20	13:45:20	13:45:20	13:45:20	13:45:20			13:45:20	13:45:20	13:45:20	13:45:20	13:45:24	13:45:24	13:45:24	13:45:24	13:45:24	13:45:24			13:45:24	13:45:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
4	13:45:24	13:45:24	13:45:24	13:45:24	13:45:24	13:45:24			13:45:24	13:45:24	13:45:24	13:45:24	13:45:27	13:45:27	13:45:27	13:45:27	13:45:27	13:45:27			13:45:27	13:45:27		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
5	13:45:27	13:45:27	13:45:27	13:45:27	13:45:27	13:45:27			13:45:27	13:45:27	13:45:27	13:45:27	13:45:30	13:45:30	13:45:30	13:45:30	13:45:30	13:45:30			13:45:30	13:45:30		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
6	13:45:30	13:45:30	13:45:30	13:45:30	13:45:30	13:45:30			13:45:30	13:45:30	13:45:30	13:45:30	13:45:33	13:45:33	13:45:33	13:45:33	13:45:33	13:45:33			13:45:33	13:45:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
7	13:45:34	13:45:34	13:45:34	13:45:34	13:45:34	13:45:34			13:45:34	13:45:34	13:45:34	13:45:34	13:45:36	13:45:36	13:45:36	13:45:36	13:45:36	13:45:36			13:45:36	13:45:36		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
8	13:45:36	13:45:36	13:45:36	13:45:36	13:45:36	13:45:36			13:45:36	13:45:36	13:45:36	13:45:36	13:45:38	13:45:38	13:45:38	13:45:38	13:45:38	13:45:38			13:45:39	13:45:39		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
9	13:45:39	13:45:39	13:45:39	13:45:39	13:45:39	13:45:39			13:45:39	13:45:39	13:45:39	13:45:39	13:45:41	13:45:41	13:45:41	13:45:41	13:45:41	13:45:41			13:45:41	13:45:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
10	13:45:42	13:45:42	13:45:42	13:45:42	13:45:42	13:45:42	13:45:42	13:45:42	13:45:42	13:45:42	13:45:42	13:45:42	13:45:44	13:45:44	13:45:44	13:45:44	13:45:44	13:45:44	13:45:44	13:45:44	13:45:44	13:45:44		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02
