ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-12.740461154176732	-12.740461154176732	-12.740461154176732	-12.740461154176732
1	-12.740461154176732	-12.740461154176732	-12.740461154176732	-12.740461154176732
2	-12.740461154176732	-12.740461154176732	-12.740461154176732	-12.740461154176732
3	-12.740461154176732	-12.740461154176732	-12.740461154176732	-12.740461154176732
4	-12.740461154176732	-12.740461154176732	-12.740461154176732	-12.740461154176732
5	-12.740461154176732	-12.740461154176732	-12.740461154176732	-12.740461154176732
6	-12.740461154176732	-12.740461154176732	-12.740461154176732	-12.740461154176732
7	-12.740461154176732	-12.740461154176732	-12.740461154176733	-12.740461154176732
8	-12.740461154176732	-12.740461154176732	-12.740461154176733	-12.740461154176732
9	-12.740461154176732	-12.740461154176732	-12.740461154176733	-12.740461154176732
10	-12.740461154176732	-12.740461154176732	-12.740461154176733	-12.740461154176732
