Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	11:54:45	11:54:45	11:54:45			11:54:45	11:54:45	11:54:45	11:54:45	11:54:45	11:54:45	11:54:45	11:54:50	11:54:50	11:54:50	11:54:50	11:54:50	11:54:50			11:54:52	11:54:52		00:00:00		00:00:00	00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:02	00:00:07
1	11:54:52	11:54:52	11:54:52	11:54:52	11:54:53	11:54:53	11:54:53	11:54:53	11:54:53	11:54:53	11:54:53	11:54:53	11:54:57	11:54:57	11:54:57	11:54:57	11:54:57	11:54:57			11:54:58	11:54:58		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:05
2	11:54:58	11:54:58	11:54:58	11:54:58	11:54:58	11:54:58			11:54:58	11:54:58	11:54:58	11:54:58	11:55:03	11:55:03	11:55:03	11:55:03	11:55:03	11:55:03			11:55:03	11:55:03		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:05
3	11:55:03	11:55:03	11:55:03	11:55:03	11:55:03	11:55:03			11:55:03	11:55:03	11:55:03	11:55:03	11:55:08	11:55:08	11:55:08	11:55:08	11:55:08	11:55:08			11:55:08	11:55:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:05
4	11:55:08	11:55:08	11:55:08	11:55:08	11:55:09	11:55:09			11:55:09	11:55:09	11:55:09	11:55:09	11:55:18	11:55:18	11:55:18	11:55:18	11:55:18	11:55:18			11:55:19	11:55:19		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
5	11:55:19	11:55:19	11:55:19	11:55:19	11:55:19	11:55:19			11:55:19	11:55:19	11:55:19	11:55:19	11:55:27	11:55:27	11:55:27	11:55:27	11:55:27	11:55:27			11:55:27	11:55:27		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
6	11:55:27	11:55:27	11:55:27	11:55:27	11:55:27	11:55:27			11:55:27	11:55:27	11:55:27	11:55:27	11:55:32	11:55:32	11:55:32	11:55:32	11:55:32	11:55:32			11:55:32	11:55:32		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:05
7	11:55:33	11:55:33	11:55:33	11:55:33	11:55:33	11:55:33			11:55:33	11:55:33	11:55:33	11:55:33	11:55:37	11:55:37	11:55:37	11:55:37	11:55:37	11:55:37			11:55:38	11:55:38		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:05
8	11:55:38	11:55:38	11:55:38	11:55:38	11:55:38	11:55:38			11:55:38	11:55:38	11:55:38	11:55:38	11:55:42	11:55:42	11:55:42	11:55:42	11:55:42	11:55:42			11:55:43	11:55:43		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
9	11:55:43	11:55:43	11:55:43	11:55:43	11:55:43	11:55:43			11:55:43	11:55:43	11:55:43	11:55:43	11:55:47	11:55:47	11:55:47	11:55:47	11:55:47	11:55:47			11:55:48	11:55:48		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:05
10	11:55:48	11:55:48	11:55:48	11:55:48	11:55:48	11:55:48	11:55:48	11:55:48	11:55:48	11:55:48	11:55:48	11:55:48	11:55:53	11:55:53	11:55:53	11:55:53	11:55:53	11:55:53	11:55:53	11:55:53	11:55:53	11:55:53		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:04	00:00:00	00:00:00	00:00:00	00:00:00	00:00:05
