Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	14:02:41	14:02:41	14:02:41			14:02:41	14:02:41	14:02:42	14:02:42	14:02:42	14:02:42	14:02:42	14:02:45	14:02:45	14:02:45	14:02:45	14:02:45	14:02:45			14:02:46	14:02:46		00:00:00		00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:01	00:00:04
1	14:02:46	14:02:46	14:02:46	14:02:46	14:02:46	14:02:46	14:02:46	14:02:46	14:02:46	14:02:46	14:02:46	14:02:46	14:02:51	14:02:51	14:02:51	14:02:51	14:02:51	14:02:51			14:02:51	14:02:51		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
2	14:02:51	14:02:51	14:02:51	14:02:51	14:02:51	14:02:51			14:02:51	14:02:51	14:02:51	14:02:51	14:02:54	14:02:54	14:02:54	14:02:54	14:02:54	14:02:54			14:02:55	14:02:55		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
3	14:02:55	14:02:55	14:02:55	14:02:55	14:02:55	14:02:55			14:02:55	14:02:55	14:02:55	14:02:55	14:02:59	14:02:59	14:02:59	14:02:59	14:02:59	14:02:59			14:02:59	14:02:59		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
4	14:02:59	14:02:59	14:02:59	14:02:59	14:02:59	14:02:59			14:02:59	14:02:59	14:02:59	14:02:59	14:03:01	14:03:01	14:03:01	14:03:01	14:03:01	14:03:01			14:03:02	14:03:02		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
5	14:03:02	14:03:02	14:03:02	14:03:02	14:03:02	14:03:02			14:03:02	14:03:02	14:03:02	14:03:02	14:03:05	14:03:05	14:03:05	14:03:05	14:03:05	14:03:05			14:03:05	14:03:05		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
6	14:03:05	14:03:05	14:03:05	14:03:05	14:03:05	14:03:05			14:03:05	14:03:05	14:03:05	14:03:05	14:03:08	14:03:08	14:03:08	14:03:08	14:03:08	14:03:08			14:03:08	14:03:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
7	14:03:08	14:03:08	14:03:08	14:03:08	14:03:08	14:03:08			14:03:08	14:03:08	14:03:08	14:03:08	14:03:10	14:03:10	14:03:10	14:03:10	14:03:10	14:03:10			14:03:11	14:03:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
8	14:03:11	14:03:11	14:03:11	14:03:11	14:03:11	14:03:11			14:03:11	14:03:11	14:03:11	14:03:11	14:03:13	14:03:13	14:03:13	14:03:13	14:03:13	14:03:13			14:03:14	14:03:14		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
9	14:03:14	14:03:14	14:03:14	14:03:14	14:03:14	14:03:14			14:03:14	14:03:14	14:03:14	14:03:14	14:03:16	14:03:16	14:03:16	14:03:16	14:03:16	14:03:16			14:03:16	14:03:16		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
10	14:03:16	14:03:16	14:03:16	14:03:16	14:03:16	14:03:16	14:03:16	14:03:16	14:03:16	14:03:16	14:03:16	14:03:16	14:03:18	14:03:18	14:03:18	14:03:18	14:03:18	14:03:18	14:03:18	14:03:18	14:03:19	14:03:19		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02
