Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	12:29:20	12:29:20	12:29:20			12:29:20	12:29:20	12:29:21	12:29:21	12:29:21	12:29:21	12:29:21	12:29:24	12:29:24	12:29:24	12:29:24	12:29:24	12:29:24			12:29:25	12:29:25		00:00:00		00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:01	00:00:04
1	12:29:25	12:29:25	12:29:25	12:29:25	12:29:26	12:29:26	12:29:26	12:29:26	12:29:26	12:29:26	12:29:26	12:29:26	12:29:28	12:29:28	12:29:28	12:29:28	12:29:28	12:29:28			12:29:29	12:29:29		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
2	12:29:29	12:29:29	12:29:29	12:29:29	12:29:29	12:29:29			12:29:29	12:29:29	12:29:29	12:29:29	12:29:32	12:29:32	12:29:32	12:29:32	12:29:32	12:29:32			12:29:33	12:29:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
3	12:29:33	12:29:33	12:29:33	12:29:33	12:29:33	12:29:33			12:29:33	12:29:33	12:29:33	12:29:33	12:29:35	12:29:35	12:29:35	12:29:35	12:29:35	12:29:35			12:29:36	12:29:36		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
4	12:29:36	12:29:36	12:29:36	12:29:36	12:29:36	12:29:36			12:29:36	12:29:36	12:29:36	12:29:36	12:29:38	12:29:38	12:29:38	12:29:38	12:29:38	12:29:38			12:29:39	12:29:39		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
5	12:29:39	12:29:39	12:29:39	12:29:39	12:29:39	12:29:39			12:29:39	12:29:39	12:29:39	12:29:39	12:29:41	12:29:41	12:29:41	12:29:41	12:29:41	12:29:41			12:29:42	12:29:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
6	12:29:42	12:29:42	12:29:42	12:29:42	12:29:42	12:29:42			12:29:42	12:29:42	12:29:42	12:29:42	12:29:44	12:29:44	12:29:44	12:29:44	12:29:44	12:29:44			12:29:45	12:29:45		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
7	12:29:46	12:29:46	12:29:46	12:29:46	12:29:46	12:29:46			12:29:46	12:29:46	12:29:46	12:29:46	12:29:51	12:29:51	12:29:51	12:29:51	12:29:51	12:29:51			12:29:52	12:29:52		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:00	00:00:06
8	12:29:52	12:29:52	12:29:52	12:29:52	12:29:52	12:29:52			12:29:52	12:29:52	12:29:52	12:29:52	12:29:57	12:29:57	12:29:57	12:29:57	12:29:57	12:29:57			12:29:58	12:29:58		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
9	12:29:58	12:29:58	12:29:58	12:29:58	12:29:58	12:29:58			12:29:58	12:29:58	12:29:58	12:29:58	12:30:03	12:30:03	12:30:03	12:30:03	12:30:03	12:30:03			12:30:04	12:30:04		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
10	12:30:04	12:30:04	12:30:04	12:30:04	12:30:04	12:30:04	12:30:04	12:30:04	12:30:04	12:30:04	12:30:04	12:30:04	12:30:10	12:30:10	12:30:10	12:30:10	12:30:10	12:30:10	12:30:10	12:30:10	12:30:11	12:30:11		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:05	00:00:00	00:00:00	00:00:00	00:00:01	00:00:06
