ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	49.39142897601088	49.39142897601088	49.39142897601088	49.39142897601088
1	50.415004399403564	50.161423706006474	50.288214052705015	50.415004399403564
2	48.78080897091543	48.52722827751834	48.65401862421688	48.78080897091543
3	51.18032700261197	50.44336744859343	50.8118472256027	51.18032700261197
4	50.54345299053803	49.220444830655026	49.881948910596535	50.54345299053803
5	50.66880300999145	48.96506793326051	49.94462392032324	50.92417990738598
6	49.893990165539044	48.19025508880811	49.042122627173576	49.893990165539044
7	51.43965593976054	49.963922826256535	50.8122535157377	51.465234669930695
8	48.04910881469289	46.82875259858341	47.7940583192654	48.56401450465926
9	49.893990165539044	47.649770668671586	48.869555184749395	49.893990165539044
10	49.893990165539044	47.649770668671586	48.869555184749395	49.893990165539044
