Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	13:15:25	13:15:25	13:15:25			13:15:25	13:15:25	13:15:25	13:15:25	13:15:25	13:15:25	13:15:25	13:15:28	13:15:28	13:15:28	13:15:28	13:15:28	13:15:28			13:15:29	13:15:29		00:00:00		00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:04
1	13:15:29	13:15:29	13:15:29	13:15:29	13:15:29	13:15:29	13:15:29	13:15:29	13:15:29	13:15:29	13:15:29	13:15:29	13:15:32	13:15:32	13:15:32	13:15:32	13:15:32	13:15:32			13:15:32	13:15:32		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
2	13:15:33	13:15:33	13:15:33	13:15:33	13:15:33	13:15:33			13:15:33	13:15:33	13:15:33	13:15:33	13:15:35	13:15:35	13:15:35	13:15:35	13:15:35	13:15:35			13:15:35	13:15:35		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
3	13:15:35	13:15:35	13:15:35	13:15:35	13:15:35	13:15:35			13:15:35	13:15:35	13:15:35	13:15:35	13:15:37	13:15:37	13:15:37	13:15:37	13:15:37	13:15:37			13:15:38	13:15:38		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
4	13:15:38	13:15:38	13:15:38	13:15:38	13:15:38	13:15:38			13:15:38	13:15:38	13:15:38	13:15:38	13:15:40	13:15:40	13:15:40	13:15:40	13:15:40	13:15:40			13:15:41	13:15:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
5	13:15:41	13:15:41	13:15:41	13:15:41	13:15:41	13:15:41			13:15:41	13:15:41	13:15:41	13:15:41	13:15:43	13:15:43	13:15:43	13:15:43	13:15:43	13:15:43			13:15:43	13:15:43		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
6	13:15:43	13:15:43	13:15:43	13:15:43	13:15:43	13:15:43			13:15:43	13:15:43	13:15:43	13:15:43	13:15:45	13:15:45	13:15:46	13:15:46	13:15:46	13:15:46			13:15:46	13:15:46		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
7	13:15:46	13:15:46	13:15:46	13:15:46	13:15:46	13:15:46			13:15:46	13:15:46	13:15:46	13:15:46	13:15:48	13:15:48	13:15:48	13:15:48	13:15:48	13:15:48			13:15:49	13:15:49		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
8	13:15:49	13:15:49	13:15:49	13:15:49	13:15:49	13:15:49			13:15:49	13:15:49	13:15:49	13:15:49	13:15:51	13:15:51	13:15:51	13:15:51	13:15:51	13:15:51			13:15:51	13:15:51		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
9	13:15:51	13:15:51	13:15:51	13:15:51	13:15:51	13:15:51			13:15:51	13:15:51	13:15:51	13:15:51	13:15:53	13:15:53	13:15:53	13:15:53	13:15:53	13:15:53			13:15:54	13:15:54		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
10	13:15:54	13:15:54	13:15:54	13:15:54	13:15:54	13:15:54	13:15:54	13:15:54	13:15:54	13:15:54	13:15:54	13:15:54	13:15:56	13:15:56	13:15:56	13:15:56	13:15:56	13:15:56	13:15:56	13:15:56	13:15:57	13:15:57		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02
