Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	13:16:43	13:16:43	13:16:43			13:16:43	13:16:43	13:16:43	13:16:43	13:16:43	13:16:43	13:16:43	13:16:44	13:16:44	13:16:44	13:16:44	13:16:44	13:16:44			13:16:45	13:16:45		00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:01	00:00:02
1	13:16:45	13:16:45	13:16:45	13:16:45	13:16:45	13:16:45	13:16:45	13:16:45	13:16:45	13:16:45	13:16:45	13:16:45	13:16:45	13:16:45	13:16:45	13:16:45	13:16:45	13:16:45			13:16:46	13:16:46		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
2	13:16:46	13:16:46	13:16:46	13:16:46	13:16:46	13:16:46			13:16:46	13:16:46	13:16:46	13:16:46	13:16:47	13:16:47	13:16:47	13:16:47	13:16:47	13:16:47			13:16:47	13:16:47		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
3	13:16:47	13:16:47	13:16:47	13:16:47	13:16:47	13:16:47			13:16:47	13:16:47	13:16:47	13:16:47	13:16:47	13:16:47	13:16:47	13:16:47	13:16:47	13:16:47			13:16:48	13:16:48		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
4	13:16:48	13:16:48	13:16:48	13:16:48	13:16:48	13:16:48			13:16:48	13:16:48	13:16:48	13:16:48	13:16:48	13:16:48	13:16:48	13:16:48	13:16:48	13:16:48			13:16:49	13:16:49		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
5	13:16:49	13:16:49	13:16:49	13:16:49	13:16:49	13:16:49			13:16:49	13:16:49	13:16:49	13:16:49	13:16:49	13:16:49	13:16:49	13:16:49	13:16:49	13:16:49			13:16:50	13:16:50		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
6	13:16:50	13:16:50	13:16:50	13:16:50	13:16:50	13:16:50			13:16:50	13:16:50	13:16:50	13:16:50	13:16:50	13:16:50	13:16:50	13:16:50	13:16:50	13:16:50			13:16:51	13:16:51		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
7	13:16:51	13:16:51	13:16:51	13:16:51	13:16:51	13:16:51			13:16:51	13:16:51	13:16:51	13:16:51	13:16:51	13:16:51	13:16:51	13:16:51	13:16:51	13:16:51			13:16:52	13:16:52		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
8	13:16:52	13:16:52	13:16:52	13:16:52	13:16:52	13:16:52			13:16:52	13:16:52	13:16:52	13:16:52	13:16:52	13:16:52	13:16:52	13:16:52	13:16:52	13:16:52			13:16:53	13:16:53		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
9	13:16:53	13:16:53	13:16:53	13:16:53	13:16:53	13:16:53			13:16:53	13:16:53	13:16:53	13:16:53	13:16:53	13:16:53	13:16:53	13:16:53	13:16:53	13:16:53			13:16:54	13:16:54		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
10	13:16:54	13:16:54	13:16:54	13:16:54	13:16:54	13:16:54	13:16:54	13:16:54	13:16:54	13:16:54	13:16:54	13:16:54	13:16:54	13:16:54	13:16:54	13:16:54	13:16:54	13:16:54	13:16:54	13:16:54	13:16:55	13:16:55		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00
